한국,,,OECD 평균
연도,근로시간,증감률,근로시간
2008,2228,,1788
2009,2174,-2.4,1753
2010,2163,-0.5,1772
2011,2136,-1.2,1772
2012,2119,-0.8,1770
2013,2106,-0.6,1766
2014,2076,-1.4,1768
2015,2083,0.3,1767
