년도,대한민국의 노인 비율
1960,3.3%
1970,3.4%
1980,3.8%
1990,4.8%
2000,6.8%
2010,10.7%
2020,15.0%
2030,24.1%
2040,32.8%
2050,39.0%
2060,43.1%
